2019-02-15 11:14:56,667 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-02-15 11:17:19,243 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.java.sensor:maven:0.0.1-SNAPSHOT @ /home/201410053010/TCC-Sensor/maven/pom.xml.
2019-02-15 11:17:20,574 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven/src/main/java
2019-02-15 11:17:20,578 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /maven/src/main/resources
2019-02-15 11:17:20,579 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven/src/test/java
2019-02-15 11:17:20,580 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /maven/src/test/resources
2019-02-15 11:17:23,182 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:17:23,229 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:17:23,237 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:17:23,242 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:17:56,317 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.java.sensor:maven:0.0.1-SNAPSHOT @ /home/201410053010/TCC-Sensor/maven/pom.xml.
2019-02-15 11:17:56,842 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:17:56,847 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:17:56,853 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:17:56,854 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:17:58,503 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:17:58,510 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:17:58,512 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:17:58,518 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:18:42,517 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:18:42,542 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:18:42,545 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:18:42,549 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:18:55,536 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:18:55,539 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:18:55,552 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:18:55,553 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:18:56,668 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:18:56,670 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:18:56,673 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:18:56,682 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:21:10,237 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:21:10,238 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:21:10,240 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:21:10,241 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:22:35,707 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:35,719 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:22:35,723 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:35,724 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:25:33,663 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:25:33,664 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:25:33,686 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:25:33,694 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:25:41,761 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:25:41,762 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:25:41,773 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:25:41,774 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:26:11,451 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
